,text_final
1065,"['approve', 'teammate', 'communication', 'contract', 'microservice']"
1066,"['video', 'show', 'data', 'provide', 'microservice']"
1067,"['want', 'update', 'due', 'date', 'make', 'good', 'upload']"
1068,"['video', 'show', 'mvp', 'reflect', 'csh']"
1069,"['answer', 'research', 'question']"
1070,"['depend', 'else', 'go', 'life', 'everyone', 'percent', 'every', 'assignment']"
1071,['book']
1072,"['also', 'suggest', 'several', 'team', 'member', 'participate', 'observation', 'interview', 'one', 'person', 'interview', 'another', 'person', 'take', 'note', 'transcribe', 'participant', 'response', 'much', 'possible']"
1073,"['pick', 'three', 'favorite', 'project']"
1074,"['show', 'team', 'provide', 'feedback', 'late', 'task']"
1075,"['need', 'able', 'read', 'write', 'text', 'file']"
1076,"['get', 'job']"
1077,"['read', 'rest', 'source', 'presentation']"
1078,[]
1079,"['lack', 'two', 'quality']"
1080,"['team', 'create', 'demo', 'video', 'grader', 'could', 'access', 'show', 'almost', 'acceptance', 'criterion', 'satisfy']"
1081,"['issue', 'report']"
1082,"['tip', 'one', 'first']"
1083,"['teammate', 'give', 'suggestion', 'mvp']"
1084,"['describe', 'task', 'use', 'system', 'project', 'would', 'ask', 'user', 'perform', 'observation']"
1085,"['c', 'provide', 'screenshot', 'show', 'user', 'story', 'sprint', 'backlog', 'task', 'management', 'system']"
1086,"['intro', 'usability', 'engineering', 'c']"
1087,"['one', 'one', 'code', 'smell', 'correct', 'use', 'appropriate', 'refactoring', 'technique']"
1088,"['also', 'give', 'use', 'case', 'general', 'audience', 'would', 'use', 'software', 'hopefully', 'copy', 'slice', 'document']"
1089,"['detailed', 'observation', 'response', 'point', 'place', 'provide', 'result', 'insight', 'say']"
1090,"['detail', 'link', 'personality', 'decision', 'feedback', 'research', 'decision', 'example', 'personality', 'facet', 'sally', 'say', 'like', 'game', 'prototype', 'feature', 'x']"
1091,['pt']
1092,"['agree', 'go', 'implement', 'microservice']"
1093,"['sprint', 'demo', 'video']"
1094,"['one', 'paragraph', 'briefly', 'describe', 'assumption', 'intend', 'follow', 'mainstreamers', 'also', 'provide', 'use', 'case', 'mainstreamer', 'would', 'use', 'software', 'hopefully', 'take', 'part', 'document', 'warning', 'mainstreamer', 'ca', 'anything', 'like', 'underserved', 'population', 'even', 'situationally', 'example', 'underserved', 'population', 'illiterate', 'mainstreamer', 'must', 'fully', 'proficient', 'language', 'interface', 'use', 'underserved', 'population', 'visual', 'impairment', 'mainstreamer', 'need', 'good', 'eyesight', 'proper', 'lighting', 'etc']"
1095,"['post', 'result', 'learning', 'mastery', 'notebook']"
1096,"['complete', 'individual', 'project', 'make', 'video', 'portfolio', 'make', 'reference', 'sheet', 'concept', 'learn', 'course']"
1097,"['answer', 'three', 'question', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'something', 'prevents', 'plan']"
1098,"['facet', 'value', 'match', 'facet', 'describe', 'least', 'one', 'sentence', 'two', 'facet']"
1099,"['hi', 'everyone', 'name', 'prachi', 'ta', 'software', 'engineering', 'fall', 'go', 'walk', 'project', 'idea', 'go', 'give', 'key', 'feature', 'product']"
1100,"['explain', 'prototype', 'way']"
1101,"['also', 'one', 'like', 'last', 'semester', 'app', 'want', 'make', 'book', 'swap', 'app', 'user', 'able', 'list', 'book', 'want', 'swap', 'book', 'go', 'worth', 'set', 'point', 'user', 'defines', 'another', 'user', 'request', 'redeem', 'pay', 'number', 'point', 'whoever', 'send', 'boo', 'pay', 'shipping', 'cost']"
1102,"['create', 'area', 'user', 'post', 'request', 'book', 'ca', 'remember', 'name', 'want', 'ask', 'suggestion']"
1103,"['lack', 'five', 'quality']"
1104,"['complete', 'individual', 'project', 'create', 'video', 'portfolio', 'create', 'reference', 'sheet', 'concept', 'learn', 'course']"
1105,"['project', 'installment']"
1106,"['also', 'one', 'last', 'semester', 'well', 'application', 'want', 'book', 'swap', 'application', 'user', 'able', 'register', 'book', 'want', 'exchange', 'book', 'price', 'set', 'point', 'set', 'user', 'another', 'user', 'request', 'exchange', 'pay', 'amount', 'point', 'sender', 'boo', 'pay', 'shipment']"
1107,"['motivation', 'depend', 'use', 'software']"
1108,"['paper', 'prototypes', 'usability', 'evaluation']"
1109,"['nobody', 'team', 'get', 'feedback', 'soon', 'enough', 'nothing', 'change', 'part', 'assignment', 'defer']"
1110,"['installment', 'flesh', 'skeleton', 'full', 'blow', 'persona', 'include', 'foundation', 'underserved', 'population', 'one']"
1111,"['r', 'consist', 'field', 'observation', 'field', 'interview', 'people', 'could', 'user', 'task', 'try', 'support']"
1112,"['write', 'least', 'paragraph', 'either', 'experience', 'get', 'transition', 'job', 'question', 'others', 'get', 'transition', 'job']"
1113,"['hide', 'score', 'total', 'assessment', 'result']"
1114,"['see', 'page']"
1115,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
1116,"['studio', 'site', 'org']"
1117,"['project', 'team', 'role', 'skill']"
1118,"['provide', 'team', 'feedback', 'mvp']"
1119,"['take', 'class', 'last', 'spring', 'really', 'fun', 'time', 'work', 'classmate', 'ultimately', 'create', 'pretty', 'cool', 'project', 'really', 'excite', 'work', 'term', 'strengthen', 'software', 'engineering', 'skills', 'together']"
1120,"['also', 'provide', 'use', 'case', 'mainstreamer', 'would', 'use', 'software', 'hopefully', 'copy', 'part', 'document']"
1121,"['want', 'people', 'enjoy', 'software']"
1122,[]
1123,"['justification', 'good', 'interesting', 'project', 'standpoint', 'reasonable', 'amount', 'usability', 'work', 'think']"
1124,"['question', 'answer']"
1125,"['adjustment', 'late', 'deduction', 'etc']"
1126,"['make', 'usable', 'people', 'understand', 'use', 'software', 'without', 'make', 'lot', 'mistake', 'get', 'frustrate', 'want', 'people', 'like', 'software']"
1127,"['write', 'use', 'case', 'scenario', 'project', 'work', 'concept']"
1128,"['issue', 'report', 'do', 'include', 'required', 'part', 'clear', 'different', 'issue', 'report', 'do', 'teammate']"
1129,"['read', 'teammate', 'submission', 'task', 'post', 'request', 'feedback', 'team', 'ui', 'design']"
1130,"['answer', 'positive', 'comment', 'ui', 'design', 'suggestion', 'question']"
1131,"['describe', 'prototype', 'sketch', 'use', 'case', 'scenario', 'project', 'prototype', 'support', 'description', 'might', 'need', 'understand', 'context', 'sketch', 'paragraph']"
1132,"['individually', 'list', 'member', 'part', 'work', 'percentage', 'contribution', 'work', 'fill', 'google', 'form']"
1133,"['sprint', 'plan', 'subtasks']"
1134,"['write', 'least', 'paragraph', 'either', 'experience', 'get', 'transition', 'job', 'internship', 'question', 'others', 'get', 'transition', 'job', 'internship']"
1135,"['presentation', 'grade', 'criterion']"
1136,"['skip', 'content']"
1137,['portfolio']
1138,"['therefore', 'choose', 'two', 'slice', 'population', 'accord', 'certain', 'dimension', 'diversity', 'one', 'marginalize', 'current', 'software', 'one', 'probably', 'software', 'product', 'subset', 'functionality', 'design', 'redesign', 'encourage', 'choose', 'project', 'personal', 'interest', 'least', 'member', 'team']"
1139,"['download', 'template']"
1140,"['project', 'installment']"
1141,"['counter', 'example', 'log']"
1142,"['part', 'sequence', 'diagram']"
1143,"['answer', 'following', 'question']"
1144,"['enter', 'sentence', 'paragraph', 'underserved', 'person', 'sit', 'back', 'seat', 'car', 'parent', 'drive', 'think', 'car', 'hot', 'turn', 'air', 'conditioner', 'set', 'temperature', 'level', 'like']"
1145,"['previous', 'sprint', 'team', 'meeting']"
1146,"['tentative', 'grading', 'policy', 'point', 'per', 'bullet', 'item', 'point', 'possible']"
1147,"['answer', 'following', 'question', 'team', 'communication', 'go', 'well', 'go', 'wrong', 'team', 'agree', 'improve', 'sprint']"
1148,"['information', 'instruction', 'team', 'discuss', 'sprint', 'go', 'term', 'communication', 'answer', 'follow', 'team', 'communication', 'go', 'well', 'go', 'poorly', 'team', 'agree', 'improve', 'sprint', 'one', 'person', 'post', 'answer', 'individual', 'post', 'agree', 'retrospective', 'post', 'contribute', 'everyone', 'must', 'contribute', 'retrospective', 'agreement', 'retrospective', 'must', 'unanimous', 'must', 'say']"
1149,"['use', 'rubric', 'grade', 'assignment']"
1150,"['make', 'sure', 'present', 'prototype', 'define', 'use', 'case', 'way', 'make', 'feel', 'like', 'two', 'separate', 'apps', 'bundle', 'together', 'prototype', 'include', 'functionality', 'one', 'user', 'wo', 'use']"
1151,"['also', 'provide', 'use', 'case', 'mainstreamers', 'use', 'software', 'hopefully', 'copy', 'installment', 'document']"
1152,"['please', 'one', 'person', 'group', 'submit', 'assignment']"
1153,"['nothing', 'complicate', 'program', 'communicate', 'text', 'file', 'described']"
1154,"['sketch', 'feel', 'free', 'scan', 'instead', 'draw', 'computer']"
1155,"['data', 'collection', 'data', 'x', 'data']"
1156,"['like', 'appendix', 'b', 'everything', 'assert', 'persona', 'must', 'fully', 'footnote', 'comment', 'substantiate', 'every', 'aspect', 'degree', 'one', 'appendix', 'b', 'fig', 'suggests', 'use', 'word', 'äôs', 'äúcomment', 'äù', 'feature', 'prefer', 'footnote']"
1157,"['something', 'textbook', 'lecture', 'assign', 'reading', 'eg', 'gender', 'mag', 'method', 'restrict', 'facet', 'make', 'tractable', 'busy', 'software', 'developer']"
1158,"['familiar', 'site', 'call', 'bookmooch', 'excellent', 'site', 'look']"
1159,"['focus', 'help', 'u', 'understand', 'people', 'care', 'bunch', 'statistic']"
1160,"['share', 'common']"
1161,"['end', 'sprint', 'git', 'hub', 'release', 'sprint', 'retrospective', 'create', 'demo', 'video', 'client']"
1162,"['explain', 'others', 'request', 'data', 'microservice', 'include', 'example', 'call', 'grader', 'feel', 'provide', 'enough', 'detail']"
1163,"['answer', 'retrospective', 'question', 'sprint', 'see', 'scrum', 'guide']"
1164,"['scan', 'instead', 'draw', 'computer']"
1165,"['äú', 'affinity', 'diagram', 'äù', 'fig', 'potentially', 'unreadable', 'snapshot', 'entire', 'affinity', 'diagram', 'eg', 'like', 'fig']"
1166,"['insight', 'get', 'relevant', 'design', 'e']"
1167,"['respond', 'teammate', 'whose', 'blocker', 'could', 'help', 'clear']"
1168,"['individually', 'list', 'member', 'part', 'work', 'percentage', 'contribution', 'work', 'fill', 'google', 'form']"
1169,"['complete', 'work', 'sign']"
1170,"['share', 'something', 'evaluation', 'fix', 'project', 'prototype', 'post', 'screen', 'see', 'fix']"
1171,['information']
1172,"['whoever', 'send', 'book', 'bear', 'shipping', 'cost']"
1173,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
1174,"['approve', 'microservice', 'teammate', 'communication', 'contract']"
1175,"['microservice', 'implementation', 'request', 'feedback', 'team']"
1176,"['point', 'pertinent', 'question', 'good', 'field', 'interview', 'note', 'good', 'information', 'context', 'artifact', 'overall', 'interview', 'involve', 'subject', 'performing', 'reconstruct', 'aspect', 'project', 'field', 'much', 'data', 'possible', 'material', 'use', 'context']"
1177,"['example', 'cognitive', 'style', 'description']"
1178,"['provide', 'feedback', 'team', 'ui', 'design']"
1179,"['summary', 'submit', 'final', 'version', 'everything', 'list']"
1180,"['new', 'research', 'population', 'combination', 'underserved', 'population', 'characteristic', 'list']"
1181,"['previous', 'sprint', 'team', 'meeting']"
1182,"['previous', 'uml', 'class', 'diagram', 'provide', 'two', 'problem', 'clearly', 'describe', 'reasonable', 'explanation', 'give', 'solve', 'design', 'pattern', 'two', 'clear', 'uml', 'class', 'diagram', 'revision', 'provide']"
1183,"['question', 'answer', 'update']"
1184,"['fill', 'highlight', 'area']"
1185,"['begin', 'project', 'design', 'user', 'interface']"
1186,"['individually', 'turn', 'honest', 'assessment', 'much', 'assignment', 'use', 'quiz', 'individual', 'portion', 'project', 'installment', 'final', 'quiz']"
1187,"['program', 'communicate', 'text', 'file', 'described']"
1188,"['find', 'rubric']"
1189,"['many', 'screen', 'many', 'take', 'show', 'use', 'case', 'start', 'finish']"
1190,"['test', 'commit', 'provide', 'working', 'correct', 'url', 'show']"
1191,"['agree', 'implement', 'microservice']"
1192,"['imagine', 'experiment', 'new', 'type', 'product', 'talk', 'translator']"
1193,"['five', 'feature', 'look', 'app']"
1194,"['strongly', 'suggest', 'observe', 'interview']"
1195,"['b', 'list', 'three', 'user', 'story', 'format']"
1196,"['see', 'others', 'approach', 'ui', 'design', 'might', 'give', 'idea']"
1197,"['point', 'task', 'use', 'project', 'system', 'describe', 'task', 'would', 'user', 'perform', 'observe']"
1198,"['delete', 'point', 'topic']"
1199,"['need', 'do', 'whose', 'microservice', 'use', 'individual', 'project']"
1200,"['individual', 'format', 'automatically', 'submit', 'take', 'individual', 'portion', 'project', 'installment', 'quiz']"
1201,"['turn', 'following']"
1202,"['clearly', 'state', 'four', 'acceptance', 'criterion', 'first', 'user', 'story', 'associate', 'non', 'functional', 'requirement', 'correctly', 'use', 'give', 'format', 'least', 'one', 'functional', 'requirement', 'least', 'three', 'non', 'functional']"
1203,"['begin', 'project', 'design', 'user', 'interface']"
1204,"['release', 'git', 'hub', 'put', 'include', 'instruction', 'run', 'project']"
1205,"['grader', 'convince', 'service', 'teammate', 'individual', 'project', 'run', 'different', 'process']"
1206,"['previous', 'task', 'define', 'dimension', 'persona', 'diversity', 'scope', 'analytical', 'process', 'use', 'fill', 'mag', 'derivation', 'inclusive', 'mag', 'version', 'cw', 'cognitive', 'walkthrough', 'experience', 'gender', 'mag', 'heuristic', 'evaluation', 'version']"
1207,"['please', 'write', 'report', 'team', 'member', 'participate', 'interview', 'observation']"
1208,"['answer', 'question', 'list', 'item', 'presentation', 'deadline', 'may', 'finish']"
1209,"['download', 'complete', 'task']"
1210,"['provide', 'context', 'feature', 'roughly', 'sketch', 'else', 'page']"
1211,"['make', 'sure', 'define', 'use', 'case', 'way', 'give', 'impression', 'two', 'separate', 'apps', 'one', 'package', 'prototype', 'contain', 'functionality', 'one', 'user', 'wo', 'use']"
1212,"['generate', 'random', 'number', 'python']"
1213,"['grade', 'criterion', 'project', 'installment']"
1214,[]
1215,"['overview', 'acquire', 'provide', 'mvp', 'feedback']"
1216,"['user', 'story', 'sprint', 'backlog']"
1217,"['information', 'instruction', 'team', 'discuss', 'sprint', 'go', 'term', 'communication', 'answer', 'following', 'team', 'communication', 'question', 'go', 'well', 'go', 'wrong', 'team', 'agree', 'improve', 'sprint', 'person', 'post', 'answer', 'individually', 'post', 'say', 'agree', 'write', 'retrospective', 'contribution', 'contribute', 'do', 'everyone', 'must', 'contribute', 'retrospective', 'agreement', 'retrospective', 'must', 'unanimous', 'otherwise', 'talk']"
1218,"['group', 'hand', 'following', 'copy', 'per', 'group']"
1219,"['much', 'assignment', 'individual']"
1220,"['part', 'status', 'update']"
1221,"['get', 'know', 'friend']"
1222,"['example', 'cognitive', 'style', 'heuristic', 'might', 'use', 'evaluate', 'software', 'design']"
1223,"['use', 'rubric', 'grade', 'assignment']"
1224,"['also', 'suggest', 'multiple', 'team', 'member', 'participate', 'observational', 'interview', 'one', 'person', 'conduct', 'interview', 'another', 'person', 'take', 'note', 'must', 'transcribe', 'participant', 'response', 'much', 'possible']"
1225,"['ui', 'design', 'contribution']"
1226,['pt']
1227,"['one', 'ui', 'work', 'population', 'state', 'another', 'way', 'inclusive', 'solution', 'solution', 'customize', 'different', 'population']"
1228,"['b', 'use', 'case', 'mainstreamer', 'turn', 'sentence', 'paragraph', 'eg', 'mainstream', 'persona', 'front', 'seat', 'driving', 'think', 'car', 'cold', 'perhaps', 'daughter', 'back', 'seat', 'turn', 'ac', 'low', 'cold', 'draft', 'blow', 'whatever', 'ui']"
1229,['instruction']
1230,"['response', 'vague', 'fully', 'respond', 'prompt', 'less', 'two', 'sentence']"
1231,"['txt', 'display', 'image', 'user', 'path', 'image']"
1232,"['project', 'plan', 'sprint', 'plan', 'mvp']"
1233,"['video', 'show', 'mvp', 'reflect', 'csh']"
1234,"['meet', 'discuss', 'need', 'microservice']"
1235,"['app', 'want', 'book', 'swap', 'app']"
1236,"['whether', 'find', 'team', 'complete', 'team', 'registration', 'form']"
1237,"['tip', 'first']"
1238,"['assignment', 'lock', 'jun']"
1239,"['question', 'please', 'dm', 'email', 'happy', 'answer', 'question', 'discuss', 'look', 'relation', 'project', 'choose']"
1240,"['gender', 'mag', 'inclusive', 'design', 'catalog']"
1241,"['teammate', 'post', 'inconsistent', 'best', 'get', 'contact']"
1242,"['conception', 'stuff', 'turn', 'underserved', 'population', 'team']"
1243,"['provide', 'team', 'feedback', 'ui', 'design']"
1244,"['one', 'issue', 'report', 'miss', 'two', 'issue', 'report', 'major', 'flaw']"
1245,"['example', 'three', 'figure', 'line', 'graph', 'word', 'bar', 'graph', 'show', 'different', 'concept', 'way', 'show', 'energy', 'usage', 'way', 'work', 'particular', 'visual', 'facet', 'eg', 'facet', 'color', 'blindness']"
1246,"['quality', 'question', 'accept', 'yes', 'answer', 'proper', 'phrasing']"
1247,"['last', 'slide', 'presentation', 'list', 'source', 'actually', 'read', 'far', 'read', 'rest', 'source', 'presentation']"
1248,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
1249,"['want', 'form', 'team', 'find', 'one', 'five', 'people', 'choose', 'team', 'name']"
1250,['asana']
1251,"['submit', 'complete', 'report', 'pdf', 'word']"
1252,"['always', 'look', 'different', 'way', 'organize', 'automate', 'task', 'increase', 'efficiency', 'sometimes', 'possibility', 'actually', 'decrease', 'efficiency', 'important', 'continue', 'recognize', 'utilize', 'work', 'stop', 'use', 'work', 'try', 'avenue']"
1253,"['explain', 'want', 'teammate', 'access', 'microservice']"
1254,"['turn', 'one', 'sentence', 'say', 'one', 'choose', 'list', 'heuristic', 'cw', 'question', 'process', 'require', 'use', 'refer', 'back', 'inclusive', 'mag', 'paper', 'previous', 'team', 'choice', 'sample', 'gender', 'mag', 'heuristic']"
1255,"['publish', 'diagram']"
1256,"['software', 'engineering', 'cs']"
1257,"['interview', 'emphasize', 'point', 'problem', 'activity', 'person', 'part', 'strongly', 'use', 'few', 'space', 'observation', 'need', 'detailed', 'detail', 'interview', 'point', 'except', 'point', 'personal', 'part']"
1258,"['scan', 'instead', 'draw', 'computer']"
1259,"['answer', 'question', 'time', 'separate', 'day', 'one', 'status', 'update']"
1260,"['write', 'use', 'case', 'scenario', 'project', 'work', 'concept']"
1261,"['one', 'person', 'post', 'answer']"
1262,"['formally', 'define', 'client', 'requirement', 'use', 'case']"
1263,"['activate', 'copy', 'per', 'group']"
1264,"['presentation', 'use', 'prototype', 'diagram', 'structure', 'spend', 'time', 'tell', 'u', 'design', 'decision', 'make', 'support', 'use', 'case', 'like', 'explain']"
1265,"['example', 'conduct', 'interview', 'list', 'question', 'collect', 'data', 'set', 'triangulation', 'etc']"
1266,"['recommend', 'submit', 'design', 'early', 'respond', 'others', 'early']"
1267,"['individually', 'give', 'honest', 'assessment', 'much', 'task', 'use', 'quiz', 'individual', 'part', 'project', 'tranche', 'quiz']"
1268,"['tentative', 'grading', 'criterion']"
1269,"['attitude', 'toward', 'risk', 'tolerant', 'risk', 'time', 'resource', 'spend', 'idea', 'product', 'may', 'may', 'turn', 'long', 'potential', 'large', 'roi', 'return', 'investment']"
1270,"['previous', 'reading', 'project', 'overview']"
1271,"['write', 'post', 'answer', 'question', 'use', 'microservice']"
1272,"['transform', 'sentence', 'paragraph', 'example', 'underserved', 'character', 'car', 'seat', 'back', 'seat', 'parent', 'drive', 'think', 'car', 'hot', 'turn', 'air', 'conditioner', 'adjust', 'temperature', 'something', 'like']"
1273,"['sketch', 'feel', 'free', 'scan', 'instead', 'draw', 'computer']"
1274,"['include', 'detailed', 'observation', 'interview', 'response', 'verbally', 'separate', 'pdf', 'attachment']"
1275,"['pretend', 'data', 'pretend', 'use', 'create', 'new', 'persona']"
1276,"['report', 'activate', 'report', 'follow', 'copy', 'per', 'group']"
1277,"['provide', 'name', 'communicate', 'pipe', 'microservice', 'use']"
1278,"['release', 'git', 'hub', 'include', 'instruction', 'run', 'project']"
1279,"['next', 'week', 'prove', 'individual', 'project', 'use', 'microservice', 'must', 'evident', 'user', 'interface']"
1280,"['tip', 'problem', 'avoid']"
1281,"['fill', 'marked', 'area']"
1282,"['overview', 'implement', 'microservice', 'share', 'video', 'teammate', 'demonstrate', 'work']"
1283,"['pretend', 'experiment', 'new', 'kind', 'product', 'speaking', 'translator', 'translator', 'goal', 'product', 'would', 'marry', 'advantage', 'ai', 'power', 'translation', 'convenience', 'hand', 'free', 'enable', 'user', 'speak', 'phone', 'mic', 'native', 'language', 'phone', 'speaker', 'talk', 'outloud', 'target', 'language', 'example', 'user', 'could', 'say', 'english', 'room', 'app', 'could', 'say', 'loud', 'donde', 'esta', 'la', 'habitacion', 'target', 'language', 'spanish']"
1284,"['next', 'would', 'like', 'kind', 'ui', 'one', 'design', 'allow', 'user', 'interact', 'enable', 'best', 'choice', 'feature']"
1285,"['think', 'app', 'would', 'call', 'ethical', 'eating', 'feel', 'free', 'come', 'good', 'name', 'please', 'contact', 'question', 'need', 'help', 'see']"
1286,"['use', 'project', 'system', 'describe', 'task', 'would', 'user', 'perform', 'observe']"
1287,"['use', 'case', 'support', 'underserved', 'population', 'prototype', 'commit', 'support', 'task']"
1288,"['commit', 'code', 'git', 'hub', 'much', 'teammate']"
1289,"['attach', 'detailed', 'observation', 'verbal', 'nonverbal', 'interview', 'response', 'separate', 'pdf', 'attachment']"
1290,"['respond', 'friend', 'whose', 'block', 'help', 'remove']"
1291,"['example', 'learn', 'braille', 'use', 'first', 'time', 'something', 'real', 'use', 'read', 'short', 'document']"
1292,"['individually', 'give', 'honest', 'assessment', 'complete', 'much', 'task', 'use', 'quiz', 'item', 'project', 'part', 'quiz']"
1293,"['time', 'require', 'update', 'task', 'management', 'system', 'since', 'already', 'practice']"
1294,"['show', 'team', 'provide', 'feedback', 'future', 'assignment', 'instruction', 'step', 'download', 'complete', 'assignment', 'available', 'format', 'google', 'doc']"
1295,"['prototype', 'sketch', 'describe', 'use', 'case', 'project', 'prototype', 'support', 'description', 'might', 'need', 'understand', 'context', 'sketch', 'paragraph']"
1296,"['screen', 'screen', 'annotation', 'best', 'justify', 'design', 'decision', 'make', 'prototype']"
1297,"['sure', 'define', 'use', 'case', 'way', 'avoid', 'give', 'impression', 'two', 'separate', 'apps', 'one', 'package', 'feature', 'prototype', 'someone', 'population', 'wo', 'use']"
1298,"['many', 'concept', 'per', 'facet']"
1299,"['use', 'case', 'uml', 'diagram', 'oo', 'evaluation']"
1300,"['three', 'four', 'requirement', 'satisfy']"
1301,"['post', 'diagram']"
1302,"['clearly', 'explain', 'teammate', 'microservice', 'fit', 'individual', 'project', 'grader', 'understands']"
1303,['sep']
1304,"['two', 'issue', 'report', 'miss', 'three', 'issue', 'report', 'major', 'flaw']"
1305,"['one', 'paragraph', 'briefly', 'describe', 'assumption', 'want', 'follow', 'mainstreamers', 'also', 'give', 'use', 'case', 'mainstreamer', 'would', 'use', 'software', 'hopefully', 'copy', 'installment', 'document', 'warn', 'mainstreamer', 'sort', 'like', 'underserved', 'population', 'even', 'situationally', 'example', 'underserved', 'population', 'illiterate', 'mainstreamer', 'must', 'fully', 'literate', 'language', 'interface', 'use', 'underserved', 'population', 'low', 'vision', 'mainstreamer', 'must', 'good', 'vision', 'suitable', 'lighting', 'etc']"
1306,"['must', 'include', 'teammate', 'communicate', 'canvas', 'team', 'discord', 'expectation', 'teammate', 'responsiveness', 'e', 'g', 'within', 'team', 'someone', 'stop', 'communicate', 'call', 'contingency', 'plan', 'team', 'someone', 'drop', 'course', 'team', 'someone', 'fail', 'implement', 'service', 'one', 'person', 'post', 'document', 'contain', 'individually', 'post', 'say', 'agree', 'ground', 'rule']"
1307,"['summary', 'turn', 'following', 'team', 'hand', 'need', 'include', 'element', 'figure']"
1308,"['question', 'feel', 'free', 'dm', 'email', 'happy', 'answer', 'question', 'discuss', 'look', 'term', 'project', 'choose', 'thank']"
1309,"['design', 'pattern', 'refactoring']"
1310,"['get', 'feedback', 'ui', 'design']"
1311,"['first', 'implementation', 'sprint']"
1312,['pt']
1313,"['use', 'representative', 'user']"
1314,"['provide', 'team', 'feedback', 'mvp']"
1315,['nan']
1316,"['write', 'free', 'form', 'comment', 'assess', 'student']"
1317,"['sprint', 'feedback']"
1318,"['video', 'show', 'user', 'interact', 'mvp']"
1319,"['instruction', 'check', 'teammate', 'mv', 'p']"
1320,"['point', 'clearly', 'relate', 'new', 'persona']"
1321,"['commit', 'code', 'git', 'hub', 'much', 'teammate']"
1322,"['filter', 'result', 'user', 'physical', 'fitness', 'level', 'show', 'match', 'trail', 'user', 'also', 'choose', 'want', 'feel', 'hike', 'easy', 'chill', 'best', 'match', 'fitness', 'level', 'challenge', 'affect', 'search', 'result', 'base', 'user', 'select']"
1323,"['late', 'penalty', 'etc']"
1324,"['appropriate', 'section', 'chapter', 'cambridge', 'inclusive', 'design', 'toolkit']"
1325,['instruction']
1326,"['edit', 'criterion', 'description']"
1327,"['everyone', 'contribute', 'retrospective']"
1328,"['user', 'gain', 'amount', 'point', 'book', 'trade', 'user', 'accept', 'swap', 'reject', 'swap', 'user', 'login', 'user', 'able', 'post', 'book', 'want', 'trade', 'user']"
1329,['pt']
1330,"['nothing', 'complicate', 'program', 'communicate', 'text', 'file', 'described']"
1331,"['check', 'product', 'backlog', 'idea']"
1332,['rubric']
1333,"['part', 'non', 'functional', 'requirement']"
1334,"['find', 'rubric']"
1335,"['post', 'state', 'agree', 'diagram']"
1336,"['state', 'task', 'management', 'system']"
1337,"['b', 'data', 'source', 'instead', 'assumption', 'want', 'use', 'mainstreamers', 'facet', 'come', 'item']"
1338,"['optional', 'feature', 'user', 'post', 'wishlist', 'book', 'want', 'user', 'post', 'description', 'book', 'condition', 'example', 'would', 'acceptable', 'whatever', 'would', 'like', 'list', 'feature']"
1339,"['post', 'score', 'learning', 'mastery', 'gradebook']"
1340,"['sprint', 'demo', 'video']"
1341,"['software', 'engineering', 'cs']"
1342,"['mention', 'triangulation']"
1343,['rubric']
1344,"['nothing', 'complicate', 'make', 'program', 'communicate', 'via', 'text', 'file', 'described']"
1345,"['make', 'sure', 'define', 'use', 'case', 'way', 'add', 'feeling', 'two', 'separate', 'application', 'one', 'package', 'feature', 'prototype', 'population', 'wo', 'use']"
1346,"['approach', 'proceed', 'answer', 'question', 'detail']"
1347,"['please', 'one', 'person', 'group', 'submit', 'assignment']"
1348,"['delete', 'criterion', 'row']"
1349,"['find', 'one', 'exactly', 'five', 'people', 'decide', 'team', 'name']"
1350,"['commit', 'code', 'git', 'hub', 'substantially', 'few', 'time', 'teammate']"
1351,"['upload', 'document', 'discussion', 'board', 'feedback', 'teammate']"
1352,"['individually', 'give', 'honest', 'assessment', 'complete', 'much', 'task', 'use', 'quiz', 'item', 'project', 'part', 'quiz']"
1353,"['provide', 'url', 'url', 'work', 'url', 'incorrect']"
1354,"['lack', 'two', 'quality']"
1355,"['create', 'area', 'user', 'post', 'request', 'book', 'remember', 'name', 'want', 'ask', 'suggestion']"
1356,"['sprint', 'plan', 'sprint', 'goal']"
1357,"['edit', 'criterion', 'description']"
1358,"['create', 'use', 'case', 'support', 'underserved', 'population', 'commitment', 'prototype', 'need', 'support', 'need', 'meaty', 'multi', 'step', 'task', 'trivial', 'one', 'step', 'thing']"
1359,"['enter', 'phrase', 'say', 'one', 'choose', 'list', 'heuristic', 'cw', 'question', 'need', 'use', 'process', 'check', 'inclusive', 'mag', 'paper', 'past', 'team', 'pick', 'example', 'gender', 'mag', 'heuristic']"
1360,"['multiple', 'person', 'observe', 'multiple', 'different', 'thing']"
1361,"['post', 'code', 'available', 'time', 'come']"
1362,"['non', 'trivial', 'product', 'process', 'problem', 'must', 'consider', 'new', 'persona']"
1363,"['give', 'honest', 'assessment', 'task', 'use', 'quiz', 'individual', 'section', 'project', 'installment', 'final', 'quiz']"
